pair	matcher	pred	Rplus_ref	Rplus_TP	Rplus_judge	Rplus_P	Rplus_R	Rplus_F1	Rapprox_ref	Rapprox_TP	Rapprox_judge	Rapprox_P	Rapprox_R	Rapprox_F1
thinkhome-brick	AML	112	66	48	58	0.8276	0.7273	0.7742	116	72	75	0.96	0.6207	0.7539
thinkhome-brick	BertMap	13	66	11	11	1.0	0.1667	0.2857	116	13	13	1.0	0.1121	0.2016
thinkhome-brick	BertMapLt	17	66	10	13	0.7692	0.1515	0.2532	116	17	17	1.0	0.1466	0.2556
thinkhome-brick	CySecBertMap	13	66	11	11	1.0	0.1667	0.2857	116	13	13	1.0	0.1121	0.2016
thinkhome-brick	LogMap	55	66	40	45	0.8889	0.6061	0.7207	116	49	51	0.9608	0.4224	0.5868
thinkhome-brick	LogMapLt	141	66	51	83	0.6145	0.7727	0.6846	116	98	126	0.7778	0.8448	0.8099
thinkhome-brick	Matcha	312	66	40	132	0.303	0.6061	0.404	116	81	258	0.314	0.6983	0.4332
thinkhome-brick	SecureBertMap	13	66	11	11	1.0	0.1667	0.2857	116	13	13	1.0	0.1121	0.2016
brick-smartenv	AML	32	18	12	17	0.7059	0.6667	0.6857	47	27	27	1.0	0.5745	0.7297
brick-smartenv	BertMap	12	18	8	9	0.8889	0.4444	0.5926	47	12	12	1.0	0.2553	0.4068
brick-smartenv	BertMapLt	22	18	9	13	0.6923	0.5	0.5806	47	22	22	1.0	0.4681	0.6377
brick-smartenv	CySecBertMap	12	18	8	9	0.8889	0.4444	0.5926	47	12	12	1.0	0.2553	0.4068
brick-smartenv	LogMap	40	18	17	23	0.7391	0.9444	0.8293	47	29	34	0.8529	0.617	0.716
brick-smartenv	LogMapLt	54	18	13	18	0.7222	0.7222	0.7222	47	37	44	0.8409	0.7872	0.8132
brick-smartenv	Matcha	322	18	13	23	0.5652	0.7222	0.6341	47	42	140	0.3	0.8936	0.4492
brick-smartenv	SecureBertMap	12	18	8	9	0.8889	0.4444	0.5926	47	12	12	1.0	0.2553	0.4068
city-brick	AML	38	19	13	17	0.7647	0.6842	0.7222	61	29	29	1.0	0.4754	0.6444
city-brick	BertMap	15	19	9	12	0.75	0.4737	0.5806	61	13	14	0.9286	0.2131	0.3467
city-brick	BertMapLt	22	19	9	13	0.6923	0.4737	0.5625	61	22	22	1.0	0.3607	0.5301
city-brick	CySecBertMap	12	19	8	10	0.8	0.4211	0.5517	61	12	12	1.0	0.1967	0.3288
city-brick	LogMap	27	19	14	18	0.7778	0.7368	0.7568	61	21	23	0.913	0.3443	0.5
city-brick	LogMapLt	60	19	12	19	0.6316	0.6316	0.6316	61	50	55	0.9091	0.8197	0.8621
city-brick	Matcha	402	19	14	31	0.4516	0.7368	0.56	61	56	149	0.3758	0.918	0.5333
city-brick	SecureBertMap	12	19	8	10	0.8	0.4211	0.5517	61	12	12	1.0	0.1967	0.3288
jc3iedm-mio	ALOD2Vec	61	267	42	44	0.9545	0.1573	0.2701	267	42	44	0.9545	0.1573	0.2701
jc3iedm-mio	AML	34	267	29	29	1.0	0.1086	0.1959	267	29	29	1.0	0.1086	0.1959
jc3iedm-mio	ATMatcher	91	267	46	50	0.92	0.1723	0.2902	267	46	50	0.92	0.1723	0.2902
jc3iedm-mio	BertMap	22	267	22	22	1.0	0.0824	0.1522	267	22	22	1.0	0.0824	0.1522
jc3iedm-mio	BertMapLt	26	267	26	26	1.0	0.0974	0.1775	267	26	26	1.0	0.0974	0.1775
jc3iedm-mio	CySecBertMap	22	267	22	22	1.0	0.0824	0.1522	267	22	22	1.0	0.0824	0.1522
jc3iedm-mio	Fine-TOM	44	267	39	43	0.907	0.1461	0.2516	267	39	43	0.907	0.1461	0.2516
jc3iedm-mio	KGMatcher	14	267	14	14	1.0	0.0524	0.0996	267	14	14	1.0	0.0524	0.0996
jc3iedm-mio	LogMap	234	267	228	229	0.9956	0.8539	0.9194	267	228	229	0.9956	0.8539	0.9194
jc3iedm-mio	LogMapLLM	238	267	232	233	0.9957	0.8689	0.928	267	232	233	0.9957	0.8689	0.928
jc3iedm-mio	LogMapLt	37	267	34	36	0.9444	0.1273	0.2244	267	34	36	0.9444	0.1273	0.2244
jc3iedm-mio	Matcha	167	267	62	134	0.4627	0.2322	0.3092	267	62	134	0.4627	0.2322	0.3092
jc3iedm-mio	SecureBertMap	22	267	22	22	1.0	0.0824	0.1522	267	22	22	1.0	0.0824	0.1522
jc3iedm-brick	AML	45	75	28	28	1.0	0.3733	0.5437	75	28	28	1.0	0.3733	0.5437
jc3iedm-brick	BertMap	23	75	18	20	0.9	0.24	0.3789	75	18	20	0.9	0.24	0.3789
jc3iedm-brick	BertMapLt	23	75	23	23	1.0	0.3067	0.4694	75	23	23	1.0	0.3067	0.4694
jc3iedm-brick	CySecBertMap	19	75	18	19	0.9474	0.24	0.383	75	18	19	0.9474	0.24	0.383
jc3iedm-brick	LogMap	57	75	38	38	1.0	0.5067	0.6726	75	38	38	1.0	0.5067	0.6726
jc3iedm-brick	LogMapLt	105	75	61	74	0.8243	0.8133	0.8188	75	61	74	0.8243	0.8133	0.8188
jc3iedm-brick	Matcha	776	75	70	180	0.3889	0.9333	0.549	75	70	180	0.3889	0.9333	0.549
jc3iedm-brick	SecureBertMap	19	75	18	18	1.0	0.24	0.3871	75	18	18	1.0	0.24	0.3871
jc3iedm-facility	ALOD2Vec	38	43	37	38	0.9737	0.8605	0.9136	43	37	38	0.9737	0.8605	0.9136
jc3iedm-facility	AML	43	43	39	40	0.975	0.907	0.9398	43	39	40	0.975	0.907	0.9398
jc3iedm-facility	ATMatcher	38	43	29	31	0.9355	0.6744	0.7838	43	29	31	0.9355	0.6744	0.7838
jc3iedm-facility	BertMap	28	43	28	28	1.0	0.6512	0.7887	43	28	28	1.0	0.6512	0.7887
jc3iedm-facility	BertMapLt	29	43	29	29	1.0	0.6744	0.8056	43	29	29	1.0	0.6744	0.8056
jc3iedm-facility	CySecBertMap	28	43	28	28	1.0	0.6512	0.7887	43	28	28	1.0	0.6512	0.7887
jc3iedm-facility	Fine-TOM	37	43	11	37	0.2973	0.2558	0.275	43	11	37	0.2973	0.2558	0.275
jc3iedm-facility	KGMatcher	12	43	12	12	1.0	0.2791	0.4364	43	12	12	1.0	0.2791	0.4364
jc3iedm-facility	LogMap	44	43	42	43	0.9767	0.9767	0.9767	43	42	43	0.9767	0.9767	0.9767
jc3iedm-facility	LogMapLLM	41	43	40	40	1.0	0.9302	0.9639	43	40	40	1.0	0.9302	0.9639
jc3iedm-facility	LogMapLt	36	43	36	36	1.0	0.8372	0.9114	43	36	36	1.0	0.8372	0.9114
jc3iedm-facility	Matcha	43	43	39	40	0.975	0.907	0.9398	43	39	40	0.975	0.907	0.9398
jc3iedm-facility	SecureBertMap	34	43	32	33	0.9697	0.7442	0.8421	43	32	33	0.9697	0.7442	0.8421
